"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"EN11-HSM";1;"EN11-HSM1AF20";;;
2;"H4,H3,H2,H1";"MountingHole_3mm_Pad_Via";4;"MountingHole_Pad";;;
3;"USB1";"USB-A1HSW6";1;"USB-A1HSW6";;;
4;"C10,C15,C11,C9,C5,C4,C3";"C_0805_2012Metric";7;".1uF";;;
5;"U3";"SSOP-20_5.3x7.2mm_P0.65mm";1;"MAX6818EAP+T";;;
6;"D1";"LED_Avago_PLCC4_3.2x2.8mm_CW";1;"AAA3528LSEKJ3ZGKQBKS";;;
7;"U4";"TQFP-32_7x7mm_P0.8mm";1;"ATMEGA328P-AU";;;
8;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8AIG-20.000MHZ-4-T";;;
9;"U5";"SOT-23-6";1;"ESDALD05UD4";;;
10;"U2";"SSOP-16_3.9x4.9mm_P0.635mm";1;"FT230XS-U";;;
11;"U1";"TSSOP-16_4.4x5mm_P0.65mm";1;"XRA1402IG16TR-F";;;
12;"SW3";"PinHeader_1x03_P2.54mm_Vertical";1;"TRD11G10WL";;;
13;"SW2";"PinHeader_1x02_P2.54mm_Vertical";1;"KO128B2007";;;
14;"R10";"R_0805_2012Metric";1;"600";;;
15;"R9,R8";"R_0805_2012Metric";2;"175";;;
16;"R7,R6";"R_0805_2012Metric";2;"27";;;
17;"R3,R2,R1";"R_0805_2012Metric";3;"10k";;;
18;"MCU1";"IDC-Header_2x07_P2.54mm_Vertical";1;"2-1761603-5";;;
19;"ISP1";"TC2050-IDC";1;"AVR_ISP_10_SERIAL";;;
20;"DISP1";"NHD-3.12-25664UC";1;"NHD-3.12-25664UCW2";;;
21;"C14,C13,C12";"C_1206_3216Metric";3;"22uF";;;
22;"C8,C7";"C_0805_2012Metric";2;"18pF";;;
23;"C6";"C_0805_2012Metric";1;"4.7uF";;;
24;"C2,C1";"C_0805_2012Metric";2;"47pF";;;
