"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1,L8,L7,L6,L5,L4,L3,L2";"L_Pulse_PA4343_2";8;"10uH";;;
2;"U2";"WQFN-16-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias";1;"DAC108S085CISQ";;;
3;"J2";"IDC-Header_2x07_P2.54mm_Horizontal";1;"Data";;;
4;"U8";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias";1;"TPS7A26";;;
5;"C35,C110,C108,C85,C83,C60,C58,C33,C31";"C_1206_3216Metric";9;"22uF";;;
6;"C34,C106,C96,C95,C81,C71,C70,C56,C46,C45,C29,C19,C18";"C_0805_2012Metric";13;"10uF";;;
7;"NT4,NT3,NT2,NT1";"NetTie-2_SMD_Pad0.5mm";4;"Net-Tie_2";;;
8;"U20,U19,U16,U15,U12,U11,U7,U6";"SO-8_3.9x4.9mm_P1.27mm";8;"LTC1693-1";;;
9;"U18,U14,U10,U5";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias";4;"LTC1923EUH";;;
10;"U17,U13,U9,U4";"MSOP-8_3x3mm_P0.65mm";4;"LTC2053";;;
11;"R99,R76,R53,R28";"R_2010_5025Metric";4;".010";;;
12;"R98,R96,R75,R73,R52,R50,R27,R25";"R_0805_2012Metric";8;"2050";;;
13;"R97,R95,R74,R72,R51,R49,R26,R24";"R_0805_2012Metric";8;"8060";;;
14;"R94,R92,R71,R69,R48,R46,R2,R1,R23,R21";"R_0805_2012Metric";10;"10k";;;
15;"R93,R70,R47,R22";"R_0805_2012Metric";4;"82k";;;
16;"R91,R89,R83,R82,R68,R66,R60,R59,R45,R43,R37,R36,R5,R4,R3,R30,R29,R20,R18,R12,R11";"R_0805_2012Metric";21;"100k";;;
17;"R90,R67,R44,R19";"R_0805_2012Metric";4;"10M 1%";;;
18;"R88,R65,R42,R17";"R_0805_2012Metric";4;"1M 1%";;;
19;"R87,R85,R81,R64,R62,R58,R41,R39,R35,R16,R14,R10";"R_0805_2012Metric";12;"1.5k";;;
20;"R86,R63,R40,R15";"R_0805_2012Metric";4;"1k 1%";;;
21;"R84,R61,R38,R13";"R_0805_2012Metric";4;"9.09k 1%";;;
22;"R80,R57,R34,R9";"R_0805_2012Metric";4;"10k 1%";;;
23;"R79,R56,R33,R8";"R_0805_2012Metric";4;"13.3k 1%";;;
24;"R78,R55,R32,R7";"R_0805_2012Metric";4;"6.65k 1%";;;
25;"R77,R54,R31,R6";"R_0805_2012Metric";4;"15.4k 1%";;;
26;"Q29,Q28,Q23,Q22,Q17,Q16,Q8,Q7";"PowerPAK_SO-8_Dual";8;"SQJ504EP";;;
27;"Q27,Q26,Q25,Q24,Q21,Q20,Q19,Q18,Q15,Q14,Q13,Q12,Q2,Q1,Q9,Q6,Q5,Q4,Q3";"SOT-323_SC-70";19;"2N7002PW";;;
28;"J6,J5,J4,J3";"Molex_Nano-Fit_105313-xx04_1x04_P2.50mm_Horizontal";4;"Conn_01x04";;;
29;"D12,D9,D6,D3";"LED_0805_2012Metric";4;"YEL";;;
30;"D11,D8,D5,D2";"LED_0805_2012Metric";4;"BLU";;;
31;"D10,D7,D4,D1";"LED_0805_2012Metric";4;"RED";;;
32;"C109,C84,C59,C32";"C_1206_3216Metric";4;"47uF";;;
33;"C107,C104,C102,C98,C82,C79,C77,C73,C57,C54,C52,C48,C30,C27,C25,C21";"C_0805_2012Metric";16;"4.7uF";;;
34;"C105,C103,C101,C97,C94,C93,C91,C87,C80,C78,C76,C72,C69,C68,C66,C62,C55,C53,C51,C47,C44,C43,C41,C37,C3,C1,C28,C26,C24,C20,C17,C16,C14,C10,C8,C6";"C_0805_2012Metric";36;".1uF";;;
35;"C100,C92,C89,C75,C67,C64,C50,C42,C39,C7,C23,C15,C12,C5,C4,C2";"C_0805_2012Metric";16;"1uF";;;
36;"C99,C74,C49,C22";"C_0805_2012Metric";4;"150pF";;;
37;"C90,C65,C40,C13";"C_0805_2012Metric";4;"4.7uF tant";;;
38;"C88,C86,C63,C61,C38,C36,C11,C9";"C_0805_2012Metric";8;".1uF film";;;
39;"H4,H3,H2,H1";"MountingHole_3mm_Pad_Via";4;"MountingHole_Pad";;;
40;"FL7,FL6,FL5,FL4,FL3,FL2,FL1";"EMI_805";7;"NFL21SP206X1C7D";;;
41;"U3";"VSSOP-10_3x3mm_P0.5mm";1;"ADC104S021";;;
42;"U1";"SOT-23-5";1;"LP3985-3.0";;;
43;"Q11,Q10";"PowerPAK_SO-8_Single";2;"Si7141DP";;;
44;"J1";"Connector_Deans_Male";1;"DEANS";;;
